id,role,description,company,location,Stipend,Duration,Skills,Perks
5f9fc37ffb43357b9094a44d,Tech Management,"The Tech Management Intern will provide essential support and hands-on experience in the related field involving the following skills: Java, Software Testing, MEAN/MERN Stack, Certificate, Letter of recommendation, Job offer.",IPRIMED Education Solutions Private Limited,"[""Bangalore"", ""560001""]",12000 /month,3 Months,"[""Java"", ""Software Testing"", ""MEAN/MERN Stack"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc380fb43357b9094a44e,Social Media Marketing,"The Social Media Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Digital Marketing, Certificate.",Comezzo,"[""Bangalore"", ""560001""]",10000 /month,3 Months,"[""Digital Marketing"", ""Certificate""]",Internship; Certificate
5f9fc382fb43357b9094a44f,Operations,"The Operations Intern will provide essential support and hands-on experience in the related field involving the following skills: Data Analytics, MS-Excel, Certificate.",Lo! Foods,"[""Bangalore"", ""560001""]",2500-7000 /month,3 Months,"[""Data Analytics"", ""MS-Excel"", ""Certificate""]",Internship; Certificate
5f9fc384fb43357b9094a450,Web Development,"The Web Development Intern will provide essential support and hands-on experience in the related field involving the following skills: WordPress, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week, Free snacks & beverages.",The Eat Neat Project,"[""Bangalore"", ""560001""]",10000-12000 /month,6 Months,"[""WordPress"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc384fb43357b9094a451,Telecalling,"The Telecalling Intern will provide essential support and hands-on experience in the related field involving the following skills: English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, 5 days a week.",GiveIndia,"[""Chennai"", ""600001""]",5000 /month,2 Months,"[""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc385fb43357b9094a452,Business Development (Sales),"The Business Development (Sales) Intern will provide essential support and hands-on experience in the related field involving the following skills: Letter of recommendation, Informal dress code, 5 days a week.",Surebot Technology Solutions,"[""Bangalore"", ""560001""]",15000 /month,6 Months,"[""Letter of recommendation""]",Internship
5f9fc386fb43357b9094a453,Videography & Photography,"The Videography & Photography Intern will provide essential support and hands-on experience in the related field involving the following skills: Video Editing, Video Making, Certificate, Letter of recommendation.",REVIVE,"[""Bangalore"", ""560001""]",7000 /month,3 Months,"[""Video Editing"", ""Video Making"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc387fb43357b9094a454,Graphic Design,"The Graphic Design Intern will provide essential support and hands-on experience in the related field involving the following skills: Adobe After Effects, Figma, Certificate, Letter of recommendation, Informal dress code, 5 days a week.",Volopay,"[""Bangalore"", ""560001""]",20000 /month,3 Months,"[""Adobe After Effects"", ""Figma"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc388fb43357b9094a455,Cold Calling,"The Cold Calling Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Excel, English Proficiency (Spoken), Certificate.",Fenton Chemicals,"[""Delhi"", ""110001""]",3000-8000 /month,1 Month,"[""MS-Excel"", ""English Proficiency (Spoken)"", ""Certificate""]",Internship; Certificate
5f9fc389fb43357b9094a456,Content Writing,"The Content Writing Intern will provide essential support and hands-on experience in the related field involving the following skills: Blogging, Creative Writing, MS-Excel, Certificate, Letter of recommendation, Flexible work hours, Informal dress code.",Millet Amma,"[""Bangalore"", ""560001""]",7500-15000 /month,2 Months,"[""Blogging"", ""Creative Writing"", ""MS-Excel"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc389fb43357b9094a457,Social Media Marketing,"The Social Media Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Search Engine Marketing (SEM), Facebook Marketing, Copywriting, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, 5 days a week.",Inovexic,"[""Bangalore"", ""560001""]",8000-15000 /month,3 Months,"[""Search Engine Marketing (SEM)"", ""Facebook Marketing"", ""Copywriting"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc38afb43357b9094a458,Operations,"The Operations Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Excel, Certificate, Informal dress code, Job offer.",Spinny,"[""Bangalore"", ""560001""]",15000 /month,1 Month,"[""MS-Excel"", ""Certificate""]",Internship with job offer; Certificate
5f9fc38cfb43357b9094a459,Business Development (Sales),The Business Development (Sales) Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate.,SPACECLAP,"[""Bangalore"", ""560001""]",5000-10000 /month,6 Months,"[""Certificate""]",Internship; Certificate
5f9fc38cfb43357b9094a45a,Electrical Engineering,"The Electrical Engineering Intern will provide essential support and hands-on experience in the related field involving the following skills: English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Job offer.",HomeInspeKtor,"[""Bangalore"", ""560001""]",6000-10000 /month,6 Months,"[""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc38dfb43357b9094a45b,Technical Field Support,"The Technical Field Support Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate, Letter of recommendation.",Innomonk Technologies Private Limited,"[""Bangalore"", ""560001""]",9000 /month,6 Months,"[""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc38efb43357b9094a45c,Law/ Legal,The Law/ Legal Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate.,Daksha Fellowship,"[""Chennai"", ""600001""]",15000-18000 /month,3 Months,"[""Certificate""]",Internship; Certificate
5f9fc38ffb43357b9094a45d,Proofreading,"The Proofreading Intern will provide essential support and hands-on experience in the related field involving the following skills: MS-Excel, English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Flexible work hours, 5 days a week.",GiveIndia,"[""Chennai"", ""600001""]",5000 /month,2 Months,"[""MS-Excel"", ""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc390fb43357b9094a45e,Journalism,"The Journalism Intern will provide essential support and hands-on experience in the related field involving the following skills: English Proficiency (Spoken), English Proficiency (Written), Certificate, Letter of recommendation, Informal dress code.",Integrated Media,"[""Delhi"", ""110001""]",2000 /month,6 Months,"[""English Proficiency (Spoken)"", ""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
5f9fc391fb43357b9094a45f,Operations,"The Operations Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Job offer.",Paxnova Services,"[""Bangalore"", ""560001""]",7500 /month,3 Months,"[""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc391fb43357b9094a460,Graphic Design,"The Graphic Design Intern will provide essential support and hands-on experience in the related field involving the following skills: Adobe Photoshop, Adobe Illustrator, Adobe Premiere Pro, Creative Writing, User Interface (UI) Development, UI & UX Design, Adobe After Effects, Adobe XD, Certificate, Letter of recommendation, Flexible work hours, Informal dress code, Free snacks & beverages, Job offer.",Zebo.ai,"[""Bangalore"", ""560001""]",9000-14000 /month,3 Months,"[""Adobe Photoshop"", ""Adobe Illustrator"", ""Adobe Premiere Pro"", ""Creative Writing"", ""User Interface (UI) Development"", ""UI & UX Design"", ""Adobe After Effects"", ""Adobe XD"", ""Certificate"", ""Letter of recommendation""]",Internship with job offer; Certificate
5f9fc392fb43357b9094a461,Marketing,"The Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: Certificate, Informal dress code, 5 days a week, Free snacks & beverages.",Noon Academy,"[""Bangalore"", ""560001""]",7500 /month +  Incentives,3 Months,"[""Certificate""]",Internship; Certificate
5f9fc393fb43357b9094a462,Social Media Marketing,"The Social Media Marketing Intern will provide essential support and hands-on experience in the related field involving the following skills: English Proficiency (Written), Certificate, Letter of recommendation.",KITES Senior Care,"[""Bangalore"", ""560001""]",15000 /month,3 Months,"[""English Proficiency (Written)"", ""Certificate"", ""Letter of recommendation""]",Internship; Certificate
